Player,Year,Rounds,Avg_Drive_Distance,GIR_Percentage,SG_Total,Scoring_Avg,Money,Wins,Tournaments_Won
AARON BADDELEY,2007.0,83.0,291.9,60.35,1.064,70.088,3441119.0,1,FBR Open
ADAM SCOTT,2007.0,69.0,300.9,65.44,1.234,70.008,3413185.0,1,Shell Houston Open
ALEX CEJKA,2007.0,80.0,288.9,69.44,0.728,70.437,868303.0,0,
ANDERS HANSEN,2007.0,55.0,280.7,62.85,-0.089,70.856,461216.0,0,
ANDREW BUCKLE,2007.0,77.0,294.7,62.52,-0.265,71.443,513630.0,0,
ANTHONY KIM,2007.0,93.0,302.4,65.35,0.673,70.128,1545195.0,0,
ARRON OBERHOLSER,2007.0,69.0,285.5,62.25,1.183,69.807,1797458.0,0,
BART BRYANT,2007.0,87.0,281.1,66.34,0.638,70.637,1167874.0,0,
BEN CURTIS,2007.0,80.0,277.1,60.56,-0.749,71.582,772321.0,0,
BILL HAAS,2007.0,93.0,302.7,65.98,0.408,70.653,967443.0,0,
BILLY ANDRADE,2007.0,88.0,286.2,65.03,-0.241,71.588,499197.0,0,
BILLY MAYFAIR,2007.0,98.0,286.8,68.08,0.604,70.444,1814518.0,0,
BO VAN PELT,2007.0,104.0,294.7,66.4,0.949,70.051,1559181.0,0,
BOB ESTES,2007.0,88.0,282.6,63.19,0.38,70.962,878051.0,0,
BOB HEINTZ,2007.0,85.0,285.2,63.17,0.078,71.162,649342.0,0,
BOB TWAY,2007.0,103.0,284.3,63.52,-0.329,71.272,456767.0,0,
BOO WEEKLEY,2007.0,101.0,296.6,65.86,0.627,70.303,2613211.0,1,Verizon Heritage
BRANDT SNEDEKER,2007.0,105.0,285.6,64.58,0.672,70.089,2836643.0,1,Wyndham Championship
BRENDON DE JONGE,2007.0,76.0,293.8,64.35,-0.271,71.413,447172.0,0,
BRETT QUIGLEY,2007.0,79.0,290.7,62.11,0.128,71.212,717411.0,0,
BRETT WETTERICH,2007.0,88.0,303.3,66.28,0.134,70.902,2208282.0,0,
BRIAN BATEMAN,2007.0,55.0,291.6,61.33,-0.739,71.657,1022763.0,1,Buick Open
BRIAN DAVIS,2007.0,101.0,279.6,64.96,0.593,70.799,1289207.0,0,
BRIAN GAY,2007.0,107.0,270.0,62.94,0.356,70.877,1114571.0,0,
BRINY BAIRD,2007.0,115.0,292.1,69.27,0.586,70.662,985453.0,0,
BRYCE MOLDER,2007.0,56.0,291.2,59.47,-1.443,72.853,257593.0,0,
BUBBA DICKERSON,2007.0,51.0,298.9,59.34,-1.63,72.712,87430.0,0,
BUBBA WATSON,2007.0,80.0,315.2,65.49,0.372,70.914,1654807.0,0,
CAMERON BECKMAN,2007.0,96.0,291.9,69.87,0.418,70.845,902258.0,0,
CAMILO VILLEGAS,2007.0,82.0,298.3,65.72,0.949,70.163,1866961.0,0,
CARL PETTERSSON,2007.0,111.0,288.5,63.84,0.821,70.453,2040938.0,0,
CHAD CAMPBELL,2007.0,96.0,287.0,63.77,-0.237,71.309,1701242.0,1,Viking Classic
CHARLES HOWELL III,2007.0,89.0,299.8,63.37,0.368,70.655,2832091.0,1,Nissan Open
CHARLES WARREN,2007.0,101.0,302.8,68.37,0.314,70.793,1068440.0,0,
CHARLEY HOFFMAN,2007.0,97.0,299.9,64.03,-0.034,71.229,1689366.0,1,Bob Hope Chrysler Classic
CHARLIE WI,2007.0,90.0,286.0,66.35,0.421,70.873,1145975.0,0,
CHRIS COUCH,2007.0,76.0,299.8,64.11,-0.616,71.783,355386.0,0,
CHRIS DIMARCO,2007.0,79.0,282.4,60.53,0.115,70.913,950414.0,0,
CHRIS RILEY,2007.0,59.0,280.6,62.12,0.305,71.009,403199.0,0,
CHRIS STROUD,2007.0,66.0,290.0,66.15,-0.041,71.218,673106.0,0,
CHRIS TIDLAND,2007.0,59.0,292.9,63.64,-0.706,71.967,339482.0,0,
CLIFF KRESGE,2007.0,107.0,285.6,64.75,0.074,70.76,901549.0,0,
COREY PAVIN,2007.0,81.0,265.3,60.77,-0.178,71.276,498252.0,0,
CRAIG BARLOW,2007.0,52.0,295.5,67.2,0.024,71.343,154214.0,0,
CRAIG BOWDEN,2007.0,78.0,273.1,64.91,-0.004,71.565,333970.0,0,
CRAIG KANADA,2007.0,109.0,277.2,64.5,0.011,71.065,743305.0,0,
CRAIG LILE,2007.0,77.0,283.9,63.04,-0.108,71.386,255659.0,0,
D.J. BRIGMAN,2007.0,67.0,288.9,66.05,-0.49,71.467,268205.0,0,
D.J. TRAHAN,2007.0,99.0,295.1,66.95,-0.029,71.083,1106374.0,0,
DAISUKE MARUYAMA,2007.0,86.0,288.6,64.91,-0.385,71.547,499206.0,0,
DANIEL CHOPRA,2007.0,106.0,297.6,65.2,0.402,70.948,1755110.0,1,Ginn sur Mer Classic
DARRON STILES,2007.0,65.0,284.8,65.48,-0.649,71.592,215379.0,0,
DAVID BRANSHAW,2007.0,83.0,289.2,64.73,-1.044,72.223,323407.0,0,
DAVID TOMS,2007.0,80.0,282.5,63.78,0.89,69.883,2095837.0,0,
DAVIS LOVE III,2007.0,66.0,296.8,64.02,0.048,70.984,1016489.0,0,
DEAN WILSON,2007.0,92.0,277.2,63.35,0.444,70.557,1258507.0,0,
DICKY PRIDE,2007.0,71.0,281.4,63.6,-0.322,71.465,415792.0,0,
DOUG LABELLE II,2007.0,104.0,276.6,64.33,-0.338,71.332,604633.0,0,
DUFFY WALDORF,2007.0,69.0,287.5,66.99,-0.25,71.648,359018.0,0,
ERIC AXLEY,2007.0,107.0,287.8,61.32,-0.726,71.97,440911.0,0,
ERNIE ELS,2007.0,59.0,297.9,64.66,1.578,69.294,2705715.0,0,
FRANK LICKLITER II,2007.0,95.0,284.2,65.15,0.088,71.137,584084.0,0,
FRED FUNK,2007.0,65.0,271.8,61.75,0.211,70.55,1239376.0,1,Mayakoba Golf Classic
FREDDIE JACOBSON,2007.0,70.0,284.7,66.19,1.012,70.259,1469541.0,0,
GAVIN COLES,2007.0,87.0,268.3,62.58,-0.286,71.245,511353.0,0,
GEOFF OGILVY,2007.0,84.0,295.3,62.75,0.821,70.085,2943203.0,0,
GEORGE MCNEILL,2007.0,95.0,298.2,63.43,0.274,70.991,1504627.0,1,Frys.com Open
GLEN DAY,2007.0,85.0,280.7,64.33,-0.175,71.172,397491.0,0,
GREG OWEN,2007.0,81.0,296.5,68.14,-0.915,72.086,426601.0,0,
HARRISON FRAZAR,2007.0,88.0,302.8,63.63,-0.429,71.569,698534.0,0,
HEATH SLOCUM,2007.0,101.0,279.6,66.45,0.879,69.948,2184379.0,0,
HENRIK STENSON,2007.0,52.0,296.3,61.23,0.288,70.935,1897554.0,1,WGC-Accenture Match Play Championship
