Tournament,Winner,Season
Mercedes Championships,Tiger Woods (16),2000
Sony Open in Hawaii,Paul Azinger (12),2000
Bob Hope Chrysler Classic,Jesper Parnevik (3),2000
Phoenix Open,Tom Lehman (5),2000
AT&T Pebble Beach National Pro-Am,Tiger Woods (17),2000
Buick Invitational,Phil Mickelson (14),2000
Nissan Open,Kirk Triplett (1),2000
WGC-Andersen Consulting Match Play Championship,Darren Clarke (1),2000
Touchstone Energy Tucson Open,Jim Carter (1),2000
Doral-Ryder Open,Jim Furyk (5),2000
Honda Classic,Dudley Hart (2),2000
Bay Hill Invitational,Tiger Woods (18),2000
The Players Championship,Hal Sutton (12),2000
BellSouth Classic,Phil Mickelson (15),2000
Masters Tournament,Vijay Singh (9),2000
MCI Classic,Stewart Cink (2),2000
Greater Greensboro Chrysler Classic,Hal Sutton (13),2000
Shell Houston Open,Robert Allenby (1),2000
Compaq Classic of New Orleans,Carlos Franco (3),2000
GTE Byron Nelson Classic,Jesper Parnevik (4),2000
MasterCard Colonial,Phil Mickelson (16),2000
Memorial Tournament,Tiger Woods (19),2000
Kemper Insurance Open,Tom Scherrer (1),2000
Buick Classic,Dennis Paulson (1),2000
U.S. Open,Tiger Woods (20),2000
FedEx St. Jude Classic,Notah Begay III (3),2000
Canon Greater Hartford Open,Notah Begay III (4),2000
Advil Western Open,Robert Allenby (2),2000
Greater Milwaukee Open,Loren Roberts (7),2000
Open Championship,Tiger Woods (21),2000
B.C. Open,Brad Faxon (6),2000
John Deere Classic,Michael Clark II (1),2000
The International,Ernie Els (8),2000
Buick Open,Rocco Mediate (4),2000
PGA Championship,Tiger Woods (22),2000
WGC-NEC Invitational,Tiger Woods (23),2000
Reno–Tahoe Open,Scott Verplank (3),2000
Air Canada Championship,Rory Sabbatini (1),2000
Bell Canadian Open,Tiger Woods (24),2000
SEI Pennsylvania Classic,Chris DiMarco (1),2000
Westin Texas Open,Justin Leonard (5),2000
Buick Challenge,David Duval (12),2000
