PLAYER NAME,AVG_APPROACH_BIRDIE_OR_BETTER,AVG_APPROACH_BOGEY_OR_WORSE,AVG_APPROACH_PAR,AVG_APPROACH_SHOT_DISTANCE,FAIRWAY_APPROACH_RTP,GIR_PCT_FAIRWAY_BUNKER,GIR_PCT_FAIRWAY,GIR_PCT_OTHER,GIR_PCT_OVERALL,GIR_PCT_100-125,GIR_PCT_OVER_100,GIR_PCT_125-150,GIR_PCT_150-175,GIR_PCT_175-200,GIR_PCT_OVER_200,GIR_PCT_75-100,GIR_PCT_UNDER_100,GIR_PCT_UNDER_125,GIR_PCT_UNDER_75,GREEN_PCT_SAND_SAVES,GREEN_PCT_SCRAMBLE,GREEN_PCT_SCRAMBLE_FRINGE,GREEN_PCT_SCRAMBLE_ROUGH,GREEN_PCT_SCRAMBLE_SAND,FINISHES_FEDEXCUP_BONUS,FINISHES_OFFICIAL_MONEY,FINISHES_TOP10,FINISHES_OFFICIAL_UNOFFICIAL_MONEY,TEE_AVG_APEX,TEE_AVG_BALL_SPEED,TEE_BALL_STRIKING,TEE_AVG_CARRY,TEE_LONGEST_CARRY_DISTANCE,TEE_AVG_CARRY_EFF,TEE_AVG_CLUB_HEAD_SPEED,TEE_AVG_DISTANCE_FROM_CENTER_FR,TEE_DRIVING_ACCURACY_PCT,TEE_AVG_DRIVING_DISTANCE,TEE_AVG_FAIRWAY_BUNKER_TENDENCY_PCT,TEE_AVG_FIR_PCT,TEE_AVG_LAUNCH_ANGLE,TEE_AVG_LEFT_ROUGH_TENDENCY_PCT,TEE_LONGEST_DRIVES,TEE_AVG_RIGHT_ROUGH_TENDENCY_PCT,TEE_AVG_SMASH_FACTOR,TEE_AVG_SPIN_RATE,PUTTING_AVG_ONE_PUTTS,PUTTING_AVG_TWO_PUTTS,PUTTING_AVG_THREE_PUTTS,PUTTING_APPROACH_PERFORMANCE,PUTTING_AVG_DIST_BIRDIE,PUTTING_AVG_DIST_EAGLE,PUTTING_AVG_DIST_MADE,PUTTING_PCT_BIRDIE_OR_BETTER,PUTTING_AVG_OVERALL,PUTTING_AVG_PUTTS,SCORING_AVG_BIRDIES,SCORING_PCT_BIRDIE_OR_BETTER,SCORING_BIRDIE_BOGEY_RATIO,SCORING_BOGEY_AVERAGE,SCORING_EAGLES_PER_HOLE,SCORING_PAR3_AVERAGE,SCORING_PAR4_AVERAGE,SCORING_PAR5_AVERAGE,SCORING_ROUNDS_IN_60S,SCORING_AVG_OVERALL,SCORING_TOTAL_BIRDIES,SCORING_TOTAL_EAGLES,STREAKS_CUTS_MADE,STREAKS_FIRS_MADE,STREAKS_GIRS_MADE,STREAKS_HOLES_UNDER_PAR
Zac Blair,152.9,158.9,158.5,157.5,-0.034,39.5,74.74,51.59,63.47,75.63,57.78,71.14,56.28,47.27,40.65,84.21,85.62,81.25,87.01,50.79,60.6,96.88,60.71,50.96,101000.0,"$745,273",1.0,"$745,273","95' 9""",160.06,348.0,262.7,296.3,2.432,108.0,"23' 7""",62.62,280.9,6.2,62.16,11.35,11.65,359.0,17.84,1.482,2499.7,7.58,9.58,0.06,"2' 4""","10' 10""",,"74' 10""",30.41,1.589,28.61,3.64,20.29,1.19,2.68,1.0,3.08,4.07,4.65,25.0,71.705,240.0,1.0,,0.0,0.0,3.0
Jimmy Walker,156.9,166.8,160.3,161.0,-0.033,57.8,78.74,50.88,62.2,78.31,59.15,78.57,56.88,42.28,41.94,77.27,81.95,80.56,84.27,37.11,51.44,88.0,53.98,42.67,,"$243,370",,"$243,370","112' 10""",173.08,378.0,286.5,328.0,2.494,114.87,"24' 1""",46.81,298.0,8.1,45.78,12.38,16.34,379.0,22.98,1.5090000000000001,2244.0,6.98,10.26,0.02,"2' 4""","9' 6""","14' 7""","71' 1""",30.68,1.6269999999999998,29.28,3.46,19.69,0.94,3.22,4.0,3.14,4.11,4.74,10.0,71.92699999999999,159.0,4.0,,3.0,0.0,3.0
Cameron Percy,161.3,164.0,161.6,161.9,-0.10400000000000001,58.1,79.36,58.75,69.63,82.5,64.64,67.89,68.07,57.89,44.0,79.07,86.61,84.9,91.3,49.06,60.98,90.32,59.74,47.73,70000.0,"$470,679",1.0,"$470,679","96' 5""",165.91,178.0,270.6,299.4,2.46,109.99,"23' 1""",59.21,295.0,6.7,57.83,11.96,20.0,359.0,11.96,1.5090000000000001,2165.1,6.76,10.49,0.02,"2' 2""","9' 11""","26' 0""","72' 9""",28.24,1.6380000000000001,29.49,3.56,20.49,1.44,2.27,6.0,3.14,3.98,4.62,17.0,71.07300000000001,160.0,6.0,,3.0,7.0,3.0
Sebastian Cappelen,161.7,161.1,153.6,156.4,-0.065,43.2,77.04,54.97,64.36,76.34,59.24,64.15,55.26,57.95,37.14,81.13,82.64,80.17,83.52,47.73,61.18,95.45,66.43,50.77,,"$371,482",1.0,"$371,482","101' 1""",174.58,303.0,286.7,328.1,2.468,116.15,"22' 0""",51.15,303.7,7.8,51.69,9.39,14.35,368.0,22.78,1.5019999999999998,2422.8,7.21,9.94,,"2' 5""","10' 4""","10' 5""","70' 2""",29.9,1.609,28.96,3.51,20.02,1.22,2.43,5.0,3.09,4.04,4.73,12.0,72.10600000000001,186.0,5.0,,0.0,0.0,5.0
Brian Gay,162.3,159.8,156.1,158.0,-0.065,49.1,76.6,54.4,64.81,77.95,58.23,66.67,60.59,46.71,38.14,86.25,87.5,83.5,88.54,38.53,56.89,89.66,58.22,40.96,101000.0,"$702,647",2.0,"$702,647","99' 1""",162.43,346.0,269.5,310.9,2.468,109.21,"22' 3""",58.68,288.5,7.9,58.05,11.77,13.51,373.0,15.8,1.4869999999999999,2311.8,7.37,10.02,,"2' 0""","10' 0""","26' 1""","72' 8""",32.38,1.5859999999999999,28.54,3.89,22.05,1.3,2.59,5.0,3.08,4.01,4.72,24.0,71.407,245.0,5.0,,0.0,1.0,5.0
"Ted Potter, Jr.",162.7,166.2,156.2,159.2,-0.055999999999999994,58.3,76.41,58.68,68.94,77.46,65.51,70.19,63.97,65.71,50.0,75.0,84.4,81.67,91.8,39.44,57.72,95.83,55.56,41.51,,"$361,540",2.0,"$361,540","93' 1""",166.97,209.0,275.1,302.2,2.45,112.29,"23' 0""",60.65,290.2,7.7,58.3,9.58,18.3,358.0,11.7,1.4869999999999999,2494.8,6.86,10.36,,"2' 5""","10' 11""",,"76' 4""",27.71,1.646,29.64,3.45,19.57,1.22,2.48,3.0,3.11,4.02,4.74,14.0,71.877,152.0,3.0,,8.0,0.0,3.0
Arjun Atwal,162.9,163.0,156.3,158.7,-0.022000000000000002,45.5,73.96,57.24,66.49,74.0,64.8,73.13,69.51,54.24,47.83,94.12,87.76,80.81,84.38,50.0,59.36,81.82,74.65,50.0,,"$63,252",,"$63,252","93' 9""",161.8,215.0,266.4,299.7,2.46,108.27,"24' 2""",66.51,286.5,3.9,64.87,11.45,17.56,350.0,11.11,1.494,2371.0,6.55,10.26,,"2' 5""","11' 2""","7' 5""","71' 3""",27.37,1.6380000000000001,29.48,3.45,20.07,1.17,2.87,5.0,3.14,4.01,4.68,12.0,71.867,107.0,5.0,,0.0,7.0,3.0
Vaughn Taylor,163.0,167.7,160.3,162.1,-0.076,41.9,71.35,51.65,63.75,83.53,59.33,69.01,65.52,49.04,30.69,74.55,78.05,80.29,80.88,47.01,58.54,89.66,62.81,47.73,110000.0,"$1,148,779",2.0,"$1,148,779","106' 0""",160.63,290.0,265.5,296.9,2.476,107.2,"22' 3""",67.84,281.6,7.0,65.96,13.13,12.21,341.0,11.56,1.5,2472.7,7.61,9.79,,"2' 1""","10' 6""","18' 0""","73' 5""",32.33,1.5619999999999998,28.11,3.89,21.86,1.36,2.48,3.0,3.01,4.02,4.72,26.0,70.827,237.0,3.0,,4.0,1.0,5.0
Jason Dufner,164.2,161.4,162.8,162.9,-0.046,39.5,77.43,51.89,67.83,82.35,64.93,74.16,61.24,60.51,46.03,83.33,87.82,85.27,90.63,52.58,61.56,97.06,58.4,57.33,,"$306,781",,"$306,781","87' 10""",164.8,182.0,265.9,316.8,2.427,109.54,"23' 7""",66.44,286.2,4.9,65.6,10.09,13.61,370.0,13.99,1.506,2547.0,6.69,10.29,0.02,"2' 2""","9' 4""","12' 1""","63' 9""",25.76,1.645,29.61,3.26,18.55,1.19,2.52,5.0,3.06,4.04,4.71,22.0,71.15899999999999,202.0,5.0,,0.0,0.0,3.0
Roger Sloan,164.2,164.2,156.2,159.0,-0.068,56.3,75.48,53.69,65.58,77.78,61.28,63.64,61.59,62.63,37.8,79.69,81.25,79.91,82.5,54.44,61.08,75.0,61.74,50.0,,"$253,597",,"$253,597","115' 8""",170.37,318.0,283.2,322.6,2.5,113.29,"23' 2""",58.26,291.5,6.1,58.63,10.62,16.13,387.0,15.37,1.501,2920.1,7.06,10.14,,"2' 4""","9' 11""","56' 8""","72' 9""",28.43,1.607,28.92,3.41,19.72,1.21,2.61,7.0,3.1,4.03,4.64,17.0,71.586,174.0,7.0,2.0,0.0,0.0,4.0
Mark Anderson,164.6,162.3,160.6,161.5,-0.092,57.1,77.75,50.75,66.78,80.0,64.18,72.9,68.46,49.55,47.73,79.49,83.49,81.86,85.71,54.88,65.12,92.59,65.35,60.0,,"$278,630",,"$278,630","100' 10""",165.78,273.0,274.6,300.3,2.4930000000000003,110.11,"24' 10""",59.51,293.1,5.5,59.84,11.55,15.01,360.0,16.37,1.506,2566.4,7.0,10.3,,"2' 2""","10' 4""","10' 6""","70' 5""",25.4,1.629,29.32,3.04,17.61,1.24,2.36,6.0,3.01,4.01,4.77,16.0,71.095,143.0,6.0,,0.0,4.0,4.0
Ben Taylor,164.7,159.2,157.2,158.9,-0.091,50.0,79.71,54.25,68.92,75.0,65.72,68.89,68.75,54.55,57.81,78.57,84.42,79.62,87.76,49.12,58.3,92.86,51.14,52.27,,"$99,775",,"$99,775","103' 2""",173.67,214.0,284.8,327.0,2.474,115.08,"24' 6""",57.92,295.2,8.2,56.27,10.77,18.41,360.0,14.07,1.508,2466.9,6.5,10.74,,"2' 5""","8' 8""",,"67' 10""",26.78,1.653,29.76,3.36,19.31,1.22,2.62,5.0,3.01,4.02,4.76,14.0,71.82300000000001,141.0,5.0,,2.0,3.0,5.0
Tim Wilkinson,165.0,163.6,160.7,162.0,-0.08199999999999999,38.1,77.45,48.53,67.39,70.27,64.44,73.2,63.78,62.39,50.7,87.8,86.96,79.52,86.27,48.57,63.33,87.5,62.62,50.0,70000.0,"$307,772",,"$307,772","94' 6""",159.88,178.0,264.5,302.0,2.476,106.85,"24' 8""",68.27,284.7,4.7,68.9,11.96,10.51,345.0,12.3,1.5,2306.7,6.96,10.41,,"2' 1""","10' 4""","11' 2""","70' 7""",28.49,1.609,28.96,3.61,20.41,1.51,2.2,3.0,3.06,3.98,4.65,18.0,70.936,166.0,3.0,,0.0,0.0,4.0
Jim Furyk,165.0,173.8,164.2,165.8,-0.07200000000000001,55.2,82.02,56.83,74.22,82.14,71.27,82.46,81.88,56.2,49.44,84.62,89.89,86.13,92.06,45.45,51.93,78.57,44.44,46.15,,"$224,450",,"$224,450","79' 3""",157.99,95.0,253.8,285.9,2.412,105.24,"24' 7""",74.5,280.2,5.8,73.96,10.11,7.75,340.0,11.13,1.5030000000000001,2430.2,5.74,11.54,,"2' 0""","12' 2""","19' 3""","75' 0""",24.81,1.682,30.28,3.46,19.66,1.34,2.38,3.0,3.14,4.0,4.58,18.0,70.616,135.0,3.0,,1.0,4.0,4.0
Seamus Power,165.4,150.2,156.6,157.8,-0.17300000000000001,64.7,79.77,57.84,69.44,82.61,67.89,71.95,71.43,54.9,56.0,68.0,83.78,83.33,91.84,51.35,56.82,84.62,54.84,45.83,,"$351,069",1.0,"$351,069","78' 8""",175.9,83.0,278.9,311.7,2.3680000000000003,117.79,"26' 1""",58.61,304.5,5.9,59.03,8.36,16.67,366.0,14.24,1.493,2323.4,7.22,9.91,0.03,"2' 5""","9' 9""","39' 0""","77' 9""",34.34,1.597,28.75,4.38,25.17,1.59,2.44,5.0,3.01,4.01,4.55,19.0,70.962,140.0,5.0,2.0,0.0,0.0,3.0
Dominic Bozzelli,165.4,167.3,157.4,161.2,-0.065,50.0,77.31,47.74,62.96,70.31,59.46,64.91,57.89,57.41,47.62,83.33,86.21,79.47,87.72,43.48,54.17,95.0,55.91,44.0,,"$272,865",1.0,"$272,865","107' 6""",168.6,359.0,276.1,306.7,2.4330000000000003,113.49,"24' 2""",51.69,299.0,6.2,51.69,11.08,16.0,368.0,20.31,1.4909999999999999,2653.7,7.86,9.42,0.03,"2' 2""","9' 9""","3' 10""","78' 1""",36.61,1.5730000000000002,28.31,4.19,23.61,1.2,2.97,2.0,3.03,4.05,4.77,14.0,72.277,151.0,2.0,,0.0,0.0,4.0
Austin Cook,165.4,157.3,158.8,160.0,-0.10400000000000001,29.0,78.75,51.61,68.24,74.02,65.99,75.66,66.29,53.19,58.33,83.87,85.9,80.57,87.23,42.11,56.85,93.55,51.49,46.3,,"$386,353",,"$386,353","107' 7""",166.35,106.0,278.5,313.5,2.5140000000000002,110.78,"24' 2""",66.75,293.8,4.6,68.11,12.71,12.28,361.0,11.83,1.5030000000000001,2349.3,6.83,10.4,,"2' 4""","10' 3""","11' 8""","75' 10""",29.21,1.6269999999999998,29.28,3.72,21.02,1.29,2.63,4.0,3.06,4.01,4.71,23.0,71.52199999999999,223.0,4.0,6.0,6.0,0.0,5.0
Peter Malnati,165.7,153.2,157.4,158.5,-0.094,41.9,74.42,49.59,62.57,69.77,58.78,68.12,62.92,48.97,38.38,81.25,82.19,76.36,82.65,44.93,60.94,97.56,60.31,44.83,70000.0,"$561,273",,"$561,273","101' 9""",167.4,379.0,276.3,308.2,2.463,112.21,"23' 2""",54.45,287.6,6.6,55.45,10.54,15.21,345.0,17.51,1.493,2734.1,7.86,9.46,0.02,"2' 4""","10' 7""","12' 8""","77' 6""",32.24,1.561,28.11,3.72,21.25,1.28,2.46,6.0,3.06,4.03,4.7,20.0,71.574,212.0,6.0,2.0,5.0,0.0,3.0
Kevin Tway,165.9,166.0,161.6,163.2,-0.019,37.8,78.68,48.96,62.62,85.33,55.98,61.9,55.73,50.5,28.4,79.41,86.92,86.34,89.58,39.19,52.32,91.67,48.86,35.0,,"$256,320",,"$691,320","91' 9""",181.06,323.0,289.2,334.4,2.386,121.2,"25' 11""",49.85,303.8,7.8,51.9,8.16,16.46,371.0,19.2,1.494,2703.6,6.83,10.54,,"1' 10""","7' 11""",,"58' 8""",28.52,1.631,29.35,3.29,18.52,0.95,3.27,2.0,3.13,4.06,4.75,11.0,71.992,158.0,2.0,,0.0,0.0,4.0
Kevin Chappell,166.0,152.2,158.3,158.9,-0.096,45.2,78.4,47.79,65.18,71.59,62.39,67.33,70.3,51.32,44.29,65.22,73.81,72.9,78.75,47.62,57.98,100.0,54.74,52.27,,"$176,506",,"$264,006","116' 8""",173.11,279.0,285.0,317.0,2.449,116.37,"25' 2""",56.54,300.6,7.0,57.69,12.33,15.38,362.0,15.16,1.4880000000000002,2441.8,7.34,9.78,0.02,"2' 4""","10' 1""","32' 10""","77' 2""",32.02,1.598,28.76,3.85,22.09,1.27,2.68,5.0,3.04,4.05,4.68,15.0,71.57300000000001,158.0,5.0,2.0,1.0,2.0,9.0
Russell Knox,166.3,164.3,161.3,162.7,-0.1,58.9,81.93,53.75,70.11,71.67,66.24,77.42,68.68,59.06,49.52,84.31,87.1,80.36,88.46,55.43,63.42,96.55,61.17,60.29,70000.0,"$519,028",,"$519,028","89' 3""",169.87,93.0,277.6,309.6,2.445,113.55,"24' 4""",62.2,296.3,8.2,61.97,8.84,10.87,367.0,14.98,1.496,2402.0,6.63,10.62,,"2' 2""","9' 4""","28' 8""","66' 8""",27.83,1.6380000000000001,29.49,3.63,20.37,1.52,2.17,2.0,3.05,3.99,4.64,28.0,70.76,229.0,2.0,2.0,1.0,8.0,4.0
Jim Herman,166.4,174.7,160.1,164.2,-0.026000000000000002,56.5,73.97,48.26,64.17,77.06,60.85,67.52,69.95,50.57,39.71,76.36,80.92,79.31,83.51,41.96,51.94,87.1,48.8,44.44,150000.0,"$1,390,275",1.0,"$1,390,275","84' 0""",167.67,251.0,267.7,301.2,2.369,112.98,"26' 0""",69.28,285.6,6.3,69.23,9.22,10.03,362.0,12.5,1.486,2475.0,6.27,10.77,,"2' 4""","9' 7""","41' 11""","69' 10""",26.34,1.661,29.9,3.2,18.15,0.88,3.32,4.0,3.19,4.09,4.69,15.0,72.02199999999999,192.0,4.0,,2.0,0.0,5.0
Ben Martin,166.6,162.9,159.9,161.6,-0.094,37.5,77.78,49.72,67.13,68.0,61.42,66.13,71.59,52.63,43.75,80.77,85.92,78.51,88.89,48.21,62.91,95.65,59.34,53.33,,"$270,879",,"$270,879","88' 7""",167.62,231.0,271.4,306.9,2.414,112.43,"23' 8""",64.41,283.6,5.2,66.78,8.28,10.42,340.0,15.31,1.493,2918.6,7.17,10.19,0.03,"2' 3""","8' 5""","7' 6""","68' 4""",29.2,1.6059999999999999,28.92,3.67,20.52,1.51,2.17,1.0,2.99,4.0,4.73,14.0,71.259,132.0,1.0,,1.0,4.0,4.0
Vincent Whaley,167.2,146.6,153.3,154.8,-0.069,42.9,79.35,52.94,66.67,75.32,60.1,67.02,62.07,45.45,43.55,77.14,86.24,81.72,90.54,29.41,57.89,80.77,55.56,29.41,,"$207,571",1.0,"$207,571","95' 6""",175.2,198.0,282.8,310.4,2.411,117.3,"22' 4""",58.38,300.9,7.3,57.66,8.36,13.77,366.0,17.66,1.495,2757.4,7.37,9.84,,"2' 5""","11' 5""","11' 7""","80' 0""",32.68,1.6130000000000002,29.03,3.87,22.08,1.28,2.71,4.0,3.06,4.04,4.63,14.0,71.47800000000001,147.0,4.0,,1.0,0.0,3.0
Brooks Koepka,167.3,162.5,161.0,162.7,-0.096,59.5,79.07,54.05,66.81,75.9,63.58,66.39,64.44,64.17,42.47,80.49,85.71,82.06,87.88,43.84,51.46,88.89,45.33,42.0,101000.0,"$1,123,227",2.0,"$1,123,227","117' 1""",178.91,216.0,296.5,332.4,2.47,120.03,"24' 4""",53.75,307.0,8.0,52.94,10.25,14.99,379.0,18.6,1.4909999999999999,2601.6,6.93,10.23,,"2' 5""","9' 5""","11' 1""","72' 11""",31.39,1.621,29.18,3.9,22.22,1.21,2.78,4.0,3.06,4.05,4.65,18.0,70.546,156.0,4.0,,1.0,8.0,4.0
